"method_1","analysis_type","cluster_id_1","candidate_key_1","n_exons_1","n_subjects_1","n_events_1","diameter_1d_1","diameter_3d_1","p_1d_joint_1","p_3d_joint_1","p_any_joint_1","hotspot_class_1","significant_1d_1","significant_3d_1","significant_any_1","compactness_testable_1","method_2","matched_cluster_id_2","matched_candidate_key_2","matched_n_exons_2","matched_n_subjects_2","matched_n_events_2","matched_diameter_1d_2","matched_diameter_3d_2","matched_p_1d_joint_2","matched_p_3d_joint_2","matched_p_any_joint_2","matched_hotspot_class_2","matched_significant_1d_2","matched_significant_3d_2","matched_significant_any_2","matched_compactness_testable_2","jaccard_similarity","exact_match","significance_agrees","hotspot_class_agrees"
"complete","GAIN","GAIN_cluster_0001","5;6;7;8;9",5,5,5,4,10.1592312730255,1,0.884615384615385,0.884615384615385,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0001","5;6;7;8;9",5,5,5,4,10.1592312730255,1,0.884615384615385,0.884615384615385,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0002","2;5",2,3,3,3,4.48506255785825,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0002","2;5",2,3,3,3,4.48506255785825,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0003","7;8",2,4,4,1,4.50447228016122,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0003","7;8",2,4,4,1,4.50447228016122,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0004","6;9",2,3,3,3,4.77930080439185,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0004","6;9",2,3,3,3,4.77930080439185,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0005","5;6",2,4,4,1,5.15928912557371,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0005","5;6",2,4,4,1,5.15928912557371,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0006","1;2;5",3,4,5,4,5.2305078957644,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0006","1;2;5",3,4,5,4,5.2305078957644,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0007","3;4",2,3,3,1,5.5594506259578,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0007","3;4",2,3,3,1,5.5594506259578,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0008","6;7;8;9",4,4,4,3,8.87616612257633,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0008","6;7;8;9",4,4,4,3,8.87616612257633,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0009","7;8;9",3,4,4,2,8.87616612257633,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0009","7;8;9",3,4,4,2,8.87616612257633,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0010","1;2;3;4",4,4,5,3,15.9159444173143,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0010","1;2;3;4",4,4,5,3,15.9159444173143,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0011","1;2;3;4;5",5,4,5,4,15.9159444173143,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0011","1;2;3;4;5",5,4,5,4,15.9159444173143,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0012","1;2;3;4;5;6;7;8;9",9,6,7,8,28.5615062085365,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","GAIN_cluster_0012","1;2;3;4;5;6;7;8;9",9,6,7,8,28.5615062085365,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","GAIN","GAIN_cluster_0013","1",1,2,2,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","GAIN_cluster_0013","1",1,2,2,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
