"reference_run","comparison_run","reference_cluster_id","comparison_cluster_id","shared_residues","union_residues","jaccard","dice","overlap_coefficient","reference_recall","comparison_precision","size_difference","left_boundary_shift","right_boundary_shift","centroid_shift","reference_p_any","comparison_p_any","delta_p_any","log10_p_ratio","reference_significant","comparison_significant","significance_flip","protein","n_sim","plddt_threshold"
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0014","cluster_0010",3,3,1,1,1,1,1,0,0,0,0,0.115768463073852,0.152317880794702,0.0365494177208497,0.119160621028732,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0015","cluster_0015",4,4,1,1,1,1,1,0,0,0,0,0.115768463073852,0.304635761589404,0.188867298515552,0.420190616692713,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0016","cluster_0016",1,1,1,1,1,1,1,0,0,0,0,0.253493013972056,0.443708609271523,0.190215595299467,0.243131860318946,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0017","cluster_0017",8,8,1,1,1,1,1,0,0,0,0,0.518962075848303,0.622516556291391,0.103554480443087,0.079015284202957,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0018","cluster_0019",2,2,1,1,1,1,1,0,0,0,0,0.798403193612774,0.900662251655629,0.102259058042855,0.0523396956163314,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0019","cluster_0018",2,2,1,1,1,1,1,0,0,0,0,0.838323353293413,0.900662251655629,0.0623388983622161,0.0311503965463934,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0020","cluster_0020",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0021","cluster_0021",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0022","cluster_0022",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0023","cluster_0023",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0024","cluster_0024",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0025","cluster_0025",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0026","cluster_0026",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0027","cluster_0027",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0028","cluster_0028",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0029","cluster_0029",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0030","cluster_0030",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0031","cluster_0031",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0032","cluster_0032",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0033","cluster_0033",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0034","cluster_0034",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",300,0
